지역구분,평균임대료(천원/㎡),구분단위
용산구,49.84444444,도심지역
종로구,76.275,도심지역
중구,116.4,도심지역
강남구,61.97619048,강남지역
서초구,52.9,강남지역
마포구,49.72222222,영등포신촌지역
영등포구,39.93333333,영등포신촌지역
강동구,43.13333333,기타지역
강북구,59.66666667,기타지역
강서구,21.06666667,기타지역
관악구,70.91666667,기타지역
광진구,39.16666667,기타지역
구로구,46.13333333,기타지역
동대문구,38.41111111,기타지역
동작구,57.03333333,기타지역
성동구,39.9,기타지역
성북구,42.26666667,기타지역
송파구,34.1,기타지역
양천구,42.73333333,기타지역
은평구,38.5,기타지역
금천구,44.7,기타지역
노원구,44.7,기타지역
중랑구,44.7,기타지역
도봉구,44.7,기타지역
서대문구,44.7,기타지역
