gu,MovingPeople_10,MovingPeople_20,MovingPeople_30,MovingPeople_40,MovingPeople_50,MovingPeople_60
강남구,54346,151841,160361,140535,104855,83614
강동구,95421,304592,301427,265750,270227,217509
강북구,406189,1327488,990408,988293,1087480,934472
강서구,212975,560834,590631,467111,419976,363620
관악구,423520,2679061,1522219,1024167,1016062,882748
광진구,53215,270070,190061,148414,156142,115754
구로구,120634,491352,465325,412479,406438,327222
금천구,59718,369742,364302,313008,359960,253804
노원구,201650,530863,328118,342522,367305,298926
도봉구,68803,244220,206636,220176,247674,212792
동대문구,597330,2257950,870468,748756,748720,658711
동작구,89412,336380,208080,161315,171184,153331
마포구,439278,2275843,1541400,1072402,822539,597014
서대문구,473291,1553229,753291,656537,580788,467536
서초구,191236,837736,836053,665757,510649,440004
성동구,251575,1140468,941046,751283,757497,564154
성북구,784598,2389435,1000369,887465,833134,674690
송파구,166933,593390,622065,483681,476285,390035
양천구,81704,152759,151457,165729,162634,122432
영등포구,175349,824184,780824,687607,704798,533724
용산구,287257,1689938,1186430,758431,548500,391412
은평구,587382,1186134,1137574,1094084,1060912,902362
종로구,425944,1329204,945485,829943,750328,612905
중구,170676,929399,838496,684559,630117,488961
중랑구,152619,550205,502459,454347,537745,413013
