gu,WorkingPeople_10,WorkingPeople_20,WorkingPeople_30,WorkingPeople_40,WorkingPeople_50,WorkingPeople_60
강남구,266,6756,8107,5767,4170,2279
강동구,36,1321,2180,2505,2205,2227
강북구,72,2293,3686,5478,5519,3260
강서구,111,2519,4280,5998,6050,2523
관악구,78,3830,6802,7388,6487,3865
광진구,21,1140,1555,1473,1065,852
구로구,91,5794,8405,6525,4485,7752
금천구,87,2535,4178,5638,5338,4158
노원구,43,1207,1786,2719,3013,1939
도봉구,67,1112,1435,2071,1960,1270
동대문구,119,3825,6655,7762,5891,3104
동작구,27,742,1573,1518,1254,676
마포구,532,13994,19247,17836,14319,12150
서대문구,164,12278,16973,14725,9825,4013
서초구,626,19144,25228,22290,15484,10693
성동구,376,16394,23066,23248,18287,8245
성북구,116,6098,9142,11008,10120,6505
송파구,197,4895,8052,8838,7560,6663
양천구,12,715,1143,1473,1175,1085
영등포구,270,7772,10695,11111,9169,6114
용산구,575,15963,20900,24840,17165,5863
은평구,83,2900,5014,6696,6874,4251
종로구,2181,24508,37421,32999,21354,10728
중구,942,29254,51838,42893,21078,5999
중랑구,75,1628,2281,3269,3242,2169
