gu,maleMovingPeople,femaleMovingPeople
강남구,356710,338843
강동구,737479,717449
강북구,2742893,2991439
강서구,1266889,1348256
관악구,3991894,3555878
광진구,466316,467341
구로구,1201824,1021620
금천구,933999,786542
노원구,1086136,983252
도봉구,595382,604915
동대문구,2987110,2894814
동작구,575856,543850
마포구,3250065,3498424
서대문구,2157222,2327437
서초구,1817371,1664054
성동구,2291367,2114667
성북구,3148010,3421678
송파구,1374068,1358320
양천구,423066,413645
영등포구,1949934,1756557
용산구,2332190,2529776
은평구,2847589,3120861
종로구,2438508,2455299
중구,1965849,1776363
중랑구,1323691,1286700
